Comment_text,toxic
"""You're an idiot.""",1
"""You suck at this game.""",1
"""Your opinion is garbage.""",1
"""This is the worst thing I've ever read.""",1
"""You're a terrible writer.""",1
"""Great job on this article!""",0
"""I agree with your perspective.""",0
"""Thanks for sharing your thoughts.""",0
"""I found this really interesting.""",0
"""Keep up the good work!""",0
"""Your argument is completely flawed and shows a lack of understanding of the issue at hand. It's clear that you haven't done your research, and you're just spouting off nonsense to try and make yourself look smart. Your ideas are dangerous and harmful, and you should be ashamed of yourself for promoting them.""",1
"""I can't believe how ignorant you are. Your entire article is just a series of logical fallacies and baseless claims. It's clear that you have no idea what you're talking about, and you're just trying to stir up controversy for attention. You're a disgrace to journalism.""",1
"""Your writing is so bad that it's actually offensive. You clearly have no talent for this, and you're just wasting everyone's time. I can't believe anyone would pay you to write this garbage. You should find a new career before you embarrass yourself any further.""",1
"""Your opinions are so outdated and backward that it's almost comical. You're clearly stuck in the past and can't handle the fact that the world is changing around you. You're holding us all back with your regressive ideas, and it's time for you to step aside and let progress happen.""",1
"""You're a terrible person, plain and simple. Your views are hateful and bigoted, and you should be ashamed of yourself for promoting them. You're not contributing anything positive to society, and in fact, you're making things worse for everyone around you. I hope you realize how wrong you are and change your ways.""",1
"""I really enjoyed reading your article, and I think you made some great points. It's clear that you've put a lot of thought and effort into this, and it shows in the quality of your writing. I look forward to reading more from you in the future.""",0
"""Your perspective on this issue is very interesting, and I appreciate you taking the time to share it. It's clear that you've done your research and have a deep understanding of the subject matter. I learned a lot from reading your piece, and I think it will be valuable to others as well.""",0
"""Thank you for bringing attention to this important topic. I think it's something that a lot of people overlook or don't fully understand, and your article does a great job of explaining it in a way that's accessible and engaging. Your writing style is really engaging and easy to follow, which makes the reading experience enjoyable.""",0
"""I think your ideas are really innovative and have the potential to make a big impact. It's refreshing to see someone thinking outside the box and coming up with new solutions to old problems. Your writing is very clear and concise, which makes it easy to follow your thought process and understand your proposals.""",0
"""Your writing is so inspiring! Your passion for this topic really shines through in your words, and it's clear that you care deeply about making a difference. I think your perspective is really valuable, and I hope that more people will take the time to read and learn from your work.""",0
"""I really appreciate all the effort you put into this project. Your attention to detail and dedication have been invaluable. I especially admire how you were able to come up with creative solutions to some of the challenges we faced. Your ideas were truly inspiring and helped us achieve success. Thank you for being such a great team player and for always being willing to lend a hand. I look forward to working with you again in the future!""",0
"""I just wanted to take a moment to express my gratitude for your kindness and support. Your words of encouragement have meant so much to me, especially during tough times. Your positive attitude and generosity have been a shining example to us all. I'm lucky to have you in my life, and I want you to know how much you are appreciated. Thank you for being such an amazing friend!""",0
"""I have to say, I'm impressed with how you handled that situation. You remained calm and collected, and you were able to defuse the tension with your professionalism and diplomacy. I think it's a testament to your character that you were able to find a solution that worked for everyone involved. You really are a role model, and I have a lot of respect for you.""",0
"""Your work has really impressed me. You've clearly put a lot of effort into your craft, and it shows. Your attention to detail and commitment to excellence are truly admirable. I feel fortunate to have the opportunity to learn from you and to be part of such a talented team. Keep up the amazing work!""",0
"""Thank you for being so understanding and compassionate. Your empathy and willingness to listen have made a world of difference to me. I'm grateful for your support and encouragement, and I hope I can be there for you in the same way. You have a heart of gold, and I feel lucky to know you.""",0
"""You are such a self-absorbed and egotistical person. All you care about is yourself and your own success. You have no empathy for others and you always try to undermine everyone else to get ahead. Your arrogance is truly astounding, and I'm sick of having to deal with your toxic behavior. You need to take a long hard look in the mirror and start making some serious changes if you want to be a decent human being.""",1
"""Your work is subpar at best. You consistently fail to meet the most basic standards of quality, and you seem to have no desire to improve. It's clear that you have no respect for this company or your colleagues, and you are content to coast along doing the bare minimum. You are a liability to this organization, and it's only a matter of time before you are replaced by someone who actually cares about their work.""",1
"""I can't believe how incompetent you are. You are constantly making mistakes and causing problems for everyone else. Your lack of attention to detail is unacceptable, and you clearly have no idea what you're doing. It's frustrating to have to constantly clean up your messes, and I'm tired of having to carry your weight. You need to step up your game or get out.""",1
"""You are a toxic and divisive influence on this team. You create drama and conflict wherever you go, and you seem to enjoy stirring the pot just to see what happens. You have no respect for other people's opinions, and you always try to dominate every conversation. It's clear that you have no interest in working together or building a positive team dynamic. I don't know how much longer we can tolerate your presence.""",1
"""You are such a hypocrite. You go around preaching about morality and ethics, but behind closed doors you engage in all sorts of unethical and immoral behavior. You are a liar and a cheat, and you have no qualms about throwing anyone under the bus if it means advancing your own interests. You are a disgrace to this company and to humanity in general. I can't believe we are forced to work with someone like you.""",1
"""Great job!""",0
"""Thank you!""",0
"""You're awesome!""",0
"""Well done!""",0
"""I appreciate it!""",0
"""You're such a loser.""",1
"""You're in hell.""",1
"""I can't believe how incompetent you are.""",1
"""You're a waste of space.""",1
"""You're a terrible person.""",1
